run,device,subject,browser,plt
1,nexus5x,blistex-com-noremovepreload,chrome,4705
1,nexus5x,sedanmed-ir-removepreload,chrome,5721
1,nexus5x,dji-com-removepreload,chrome,5120
1,nexus5x,berlinomagazine-com-removepreload,chrome,8047
2,nexus5x,veronicatv-nl-noremovepreload,chrome,7459
2,nexus5x,nbc-com-noremovepreload,chrome,20938
1,nexus5x,intercom-io-removepreload,chrome,7912
2,nexus5x,trustpilot-com-noremovepreload,chrome,6402
2,nexus5x,sportbible-com-removepreload,chrome,19608
4,nexus5x,sedanmed-ir-noremovepreload,chrome,5519
2,nexus5x,intercom-io-removepreload,chrome,7552
4,nexus5x,fitchratings-ru-noremovepreload,chrome,11011
2,nexus5x,sportbible-com-noremovepreload,chrome,19539
1,nexus5x,home-pl-removepreload,chrome,11393
2,nexus5x,grantthornton-se-removepreload,chrome,5170
2,nexus5x,squareinternet-co-noremovepreload,chrome,9452
2,nexus5x,berlinomagazine-com-removepreload,chrome,8678
2,nexus5x,bensonbingham-com-noremovepreload,chrome,7093
2,nexus5x,blistex-com-noremovepreload,chrome,6240
3,nexus5x,veronicatv-nl-noremovepreload,chrome,6559
2,nexus5x,screenrant-com-removepreload,chrome,6976
2,nexus5x,africafreak-com-removepreload,chrome,5810
2,nexus5x,noshift-com-removepreload,chrome,4881
4,nexus5x,veronicatv-nl-noremovepreload,chrome,7235
2,nexus5x,grantthornton-se-noremovepreload,chrome,4310
3,nexus5x,intercom-io-removepreload,chrome,9772
2,nexus5x,agriwebb-com-removepreload,chrome,29861
4,nexus5x,intercom-io-removepreload,chrome,9374
3,nexus5x,squareinternet-co-noremovepreload,chrome,6395
1,nexus5x,g-talent-net-removepreload,chrome,18907
3,nexus5x,newsbreak-com-removepreload,chrome,6318
3,nexus5x,parsely-com-removepreload,chrome,9828
3,nexus5x,agriwebb-com-removepreload,chrome,27635
3,nexus5x,grantthornton-se-noremovepreload,chrome,2785
2,nexus5x,ladbible-com-removepreload,chrome,13572
3,nexus5x,affirm-com-removepreload,chrome,12516
2,nexus5x,sedanmed-ir-removepreload,chrome,5649
3,nexus5x,berlinomagazine-com-removepreload,chrome,7980
2,nexus5x,ladbible-com-noremovepreload,chrome,13405
3,nexus5x,bensonbingham-com-removepreload,chrome,7082
3,nexus5x,trustpilot-com-noremovepreload,chrome,7725
1,nexus5x,animoto-com-noremovepreload,chrome,4198
3,nexus5x,sportbible-com-removepreload,chrome,18753
4,nexus5x,berlinomagazine-com-removepreload,chrome,7555
2,nexus5x,home-pl-removepreload,chrome,13523
4,nexus5x,grantthornton-se-noremovepreload,chrome,2632
1,nexus5x,ingenieriareal-com-noremovepreload,chrome,3257
5,nexus5x,sedanmed-ir-noremovepreload,chrome,5742
3,nexus5x,intercom-io-noremovepreload,chrome,8944
3,nexus5x,grantthornton-se-removepreload,chrome,2586
2,nexus5x,newsbreak-com-noremovepreload,chrome,7117
2,nexus5x,screenrant-com-noremovepreload,chrome,7209
2,nexus5x,musicgreatness-com-noremovepreload,chrome,5594
2,nexus5x,agriwebb-com-noremovepreload,chrome,28436
3,nexus5x,infobunny-com-removepreload,chrome,7655
3,nexus5x,ladbible-com-removepreload,chrome,12264
1,nexus5x,parsely-com-noremovepreload,chrome,9456
2,nexus5x,scmp-com-removepreload,chrome,56154
2,nexus5x,noshift-com-noremovepreload,chrome,5562
2,nexus5x,g-talent-net-removepreload,chrome,17793
3,nexus5x,jisr-net-removepreload,chrome,7467
4,nexus5x,beegru-com-removepreload,chrome,11205
2,nexus5x,fastcodesign-com-noremovepreload,chrome,46441
3,nexus5x,noshift-com-noremovepreload,chrome,5239
3,nexus5x,africafreak-com-removepreload,chrome,6472
4,nexus5x,affirm-com-removepreload,chrome,15092
3,nexus5x,bensonbingham-com-noremovepreload,chrome,7436
2,nexus5x,nbc-com-removepreload,chrome,19004
3,nexus5x,scmp-com-removepreload,chrome,56920
4,nexus5x,squareinternet-co-noremovepreload,chrome,6238
2,nexus5x,cbc-ca-noremovepreload,chrome,16209
2,nexus5x,dji-com-noremovepreload,chrome,5912
5,nexus5x,veronicatv-nl-noremovepreload,chrome,8164
3,nexus5x,sportbible-com-noremovepreload,chrome,19785
3,nexus5x,lisakristine-com-removepreload,chrome,9328
2,nexus5x,fitchratings-ru-removepreload,chrome,10353
4,nexus5x,berlinomagazine-com-noremovepreload,chrome,10239
3,nexus5x,screenrant-com-removepreload,chrome,6605
3,nexus5x,ladbible-com-noremovepreload,chrome,19461
3,nexus5x,noshift-com-removepreload,chrome,3670
1,nexus5x,theodysseyonline-com-noremovepreload,chrome,8962
1,nexus5x,home-pl-noremovepreload,chrome,10052
3,nexus5x,screenrant-com-noremovepreload,chrome,5792
4,nexus5x,intercom-io-noremovepreload,chrome,9181
2,nexus5x,g-talent-net-noremovepreload,chrome,18755
4,nexus5x,sportbible-com-noremovepreload,chrome,20276
3,nexus5x,nbc-com-removepreload,chrome,20624
2,nexus5x,theodysseyonline-com-removepreload,chrome,6805
3,nexus5x,blistex-com-removepreload,chrome,4718
3,nexus5x,affirm-com-noremovepreload,chrome,15147
5,nexus5x,squareinternet-co-noremovepreload,chrome,5983
3,nexus5x,newsbreak-com-noremovepreload,chrome,5238
2,nexus5x,fastcodesign-com-removepreload,chrome,43861
4,nexus5x,unclesamsmisguidedchildren-com-noremovepreload,chrome,9059
3,nexus5x,sedanmed-ir-removepreload,chrome,6727
4,nexus5x,infobunny-com-noremovepreload,chrome,19367
4,nexus5x,parsely-com-removepreload,chrome,8538
2,nexus5x,unilad-co-uk-noremovepreload,chrome,17140
2,nexus5x,animoto-com-noremovepreload,chrome,3671
5,nexus5x,berlinomagazine-com-removepreload,chrome,9716
3,nexus5x,unilad-co-uk-noremovepreload,chrome,17770
4,nexus5x,trustpilot-com-noremovepreload,chrome,6160
2,nexus5x,unclesamsmisguidedchildren-com-removepreload,chrome,12165
4,nexus5x,jisr-net-removepreload,chrome,9271
3,nexus5x,musicgreatness-com-noremovepreload,chrome,6286
3,nexus5x,lisakristine-com-noremovepreload,chrome,10424
2,nexus5x,home-pl-noremovepreload,chrome,10972
4,nexus5x,noshift-com-removepreload,chrome,4724
